"Gene","logFC","AveExpr","P.Value","adj.P.Val"
"LOC650405",-1.317,10.168,6.93e-06,0.0361
"NUDT4",-0.327,10.927,7.93e-06,0.0361
"BXDC5",-0.434,10.857,9.09e-06,0.0361
"RBM27",-0.551,10.356,1.4e-05,0.0361
"PABPC4",-0.393,8.177,1.63e-05,0.0361
"hCG_19809",-0.392,14.056,1.76e-05,0.0361
"LGTN",-0.37,9.67,1.76e-05,0.0361
"CACYBP",-0.335,11.839,2.1e-05,0.0361
"PPAPDC1B",-0.425,9.431,2.11e-05,0.0361
"RPS27A",-0.26,17.186,2.13e-05,0.0361
"PFDN4",-0.336,9.699,2.72e-05,0.0398
"IL7",-0.678,7.053,2.86e-05,0.0398
"PLXDC1",1.107,9.713,3.04e-05,0.0398
"FNIP2",0.494,8.847,3.42e-05,0.0415
"UFD1L",-0.375,11.466,3.88e-05,0.042
"SNRPE",-0.324,11.663,4.38e-05,0.042
"MDFIC",-0.476,10.296,4.56e-05,0.042
"IGKC",-1.243,10.62,4.65e-05,0.042
"THUMPD1",-0.352,9.925,5.27e-05,0.042
"LSM5",-0.272,11.467,5.27e-05,0.042
"LOC644384",-0.378,14.623,5.37e-05,0.042
"OGFR",0.57,15.139,5.44e-05,0.042
"SUB1",-0.281,13.923,5.75e-05,0.0421
"PTGDS",1.23,12.918,5.95e-05,0.0421
"BMP8B",0.308,17.369,7.02e-05,0.0473
"LOC388401",-0.337,16.061,7.23e-05,0.0473
"CENPH",-0.533,7.436,7.93e-05,0.0499
"PTP4A1",-0.539,11.167,8.83e-05,0.0523
"LOC727842",0.405,9.716,8.92e-05,0.0523
"LOC255783",0.412,16.819,9.3e-05,0.0526
"C15orf29",-0.261,9.91,0.000108,0.0591
"NDUFA1",-0.327,13.649,0.000117,0.0615
"TRA2A",-0.654,8.87,0.000128,0.0615
"CNIH",-0.276,11.815,0.000129,0.0615
"RWDD4A",-0.27,9.255,0.00013,0.0615
"LOC729742",-0.233,15.897,0.000131,0.0615
"LOC729259",-0.281,14.977,0.000136,0.0615
"BCLAF1",-0.268,12.212,0.000138,0.0615
"ATP6V0A2",0.306,9.251,0.000145,0.0615
"LOC642424",-1.144,10.458,0.000147,0.0615
"HCN2",0.312,18.439,0.000149,0.0615
"SMARCC2",0.715,16.652,0.000158,0.0639
"LOC100130332",0.794,7.261,0.000164,0.0646
"LDB2",0.831,3.53,0.000169,0.0651
"TNRC18",0.591,16.712,0.000175,0.0651
"IGBP1",-0.244,12.349,0.000183,0.0651
"FAM30A",-0.835,10.368,0.000183,0.0651
"IGHA1",-1.489,11.8,0.00019,0.0651
"DYRK1A",-0.345,10.249,0.000191,0.0651
"DUX4",0.403,17.053,0.000192,0.0651
"CDH24",0.855,14.791,0.000196,0.0654
"MAD2L1",-0.428,8.444,0.000201,0.0658
"ZNF525",-0.253,14.987,0.000214,0.0664
"SWAP70",-0.416,10.32,0.000214,0.0664
"LOC641298",-0.291,8.841,0.000215,0.0664
"C15orf15",-0.281,12.366,0.000226,0.0664
"RSC1A1",0.285,7.467,0.000232,0.0664
"CKB",0.689,15.635,0.000239,0.0664
"ITGA9",0.497,5.243,0.000242,0.0664
"PPHLN1",-0.271,11.306,0.000247,0.0664
"SNHG10",-0.499,7.787,0.000247,0.0664
"C16orf81",0.887,15.191,0.000251,0.0664
"GPR150",0.693,15.345,0.000252,0.0664
"SVIP",-0.523,7.185,0.000258,0.0664
"KPNB1",0.313,13.708,0.000258,0.0664
"NFE2L1",0.233,17.533,0.000258,0.0664
"ZBTB45",0.298,12.169,0.000275,0.0688
"CLEC16A",-0.198,10.099,0.000283,0.0688
"GOLSYN",-1.283,4.291,0.000284,0.0688
"FOXQ1",0.381,16.379,0.00029,0.0688
"BTNL8",-1.676,4.187,0.000291,0.0688
"MAP3K7IP3",-0.379,7.872,0.000294,0.0688
"FAM129B",0.484,16.879,0.000296,0.0688
"PROK2",-1.139,10.316,0.000305,0.0693
"C1orf162",0.354,14.513,0.000306,0.0693
"RTN3",0.793,16.155,0.000316,0.0705
"SNRPF",-0.276,13.412,0.000319,0.0705
"C7orf30",-0.272,10.135,0.000329,0.0716
"RPL11",-0.198,17.511,0.000339,0.0729
"CRTC1",0.269,18.262,0.000349,0.0729
"C1orf38",0.364,15.718,0.000353,0.0729
"LCE5A",0.314,17.269,0.000357,0.0729
"LOC649839",-0.319,14.497,0.000362,0.0729
"IGLL1",-1.093,12.753,0.00037,0.0729
"C13orf37",-0.301,9.113,0.00037,0.0729
"C11orf16",0.523,6.003,0.000372,0.0729
"LOC152217",-0.335,13.905,0.000376,0.0729
"LOC441896",-0.337,15.639,0.000378,0.0729
"LOC284542",0.955,14.459,0.000389,0.0742
"LYRM5",-0.384,7.552,0.000423,0.0794
"LOC729449",-0.443,15.434,0.000425,0.0794
"PARP10",0.347,17.707,0.000431,0.0796
"VRK1",-0.326,9.992,0.00044,0.0799
"CASKIN1",0.272,17.19,0.000444,0.0799
"LOC100131606",-1.498,6.637,0.000449,0.0799
"IGLL3",-1.114,12.869,0.000459,0.0799
"OLFML1",0.592,4.374,0.000461,0.0799
"MYO1D",-0.549,6.375,0.000461,0.0799
"NPAS3",0.812,15.746,0.00048,0.0822
"IRF4",-0.498,7.902,0.000488,0.0822
"GTF3C6",-0.285,13.403,0.000488,0.0822
"FHIT",0.376,17.232,5e-04,0.0825
"UBQLN2",-0.27,10.399,5e-04,0.0825
"RCOR2",0.322,17.947,0.000519,0.0848
"BEND5",-0.617,7.154,0.000525,0.0848
"LOC100130233",-0.377,12.584,0.000539,0.0848
"LOC392522",-0.303,14.362,0.000541,0.0848
"SSH3",0.298,11.255,0.000543,0.0848
"VPREB3",-0.846,8.64,0.000544,0.0848
"PCDHA8",0.71,6.315,0.000551,0.085
"WDR43",-0.325,8.537,0.000555,0.085
"MOBKL2B",-0.425,8.609,0.000563,0.085
"FBXL17",0.727,15.828,0.000565,0.085
"BCAR4",0.779,3.603,0.000585,0.086
"PRNP",0.292,18.392,0.000586,0.086
"C1QBP",-0.224,13.444,0.000587,0.086
"LOC100129292",0.468,9.842,0.000597,0.086
"LOC100128836",-0.418,12.666,0.000602,0.086
"MTX3",-1.5,5.371,0.000609,0.086
"PARD6G",0.662,15.473,0.000619,0.086
"TMEM175",0.592,14.374,0.00062,0.086
"MRPL1",-0.315,7.791,0.00062,0.086
"CD300E",1.352,7.657,0.000631,0.086
"PRR5",0.42,16.867,0.000637,0.086
"ACP1",-0.244,11.604,0.000643,0.086
"TMEM154",-0.301,10.614,0.00065,0.086
"FLJ10490",0.35,17.049,0.000652,0.086
"LOC100131176",-0.915,6.016,0.000656,0.086
"IGHG1",-1.032,8.646,0.000659,0.086
"BCAS2",-0.301,11.068,0.00066,0.086
"TOMM5",-0.182,12.454,0.000663,0.086
"LOC100132941",-0.853,8.957,0.00067,0.0863
"RAVER1",0.919,12.931,0.000677,0.0865
"RNF38",-0.359,9.682,0.000689,0.0873
"IMMP2L",-0.571,7.932,0.000698,0.0878
"C11orf46",-0.532,9.477,0.00071,0.0881
"IFITM5",0.63,16.3,0.000715,0.0881
"FAM46C",-1.054,8.317,0.000716,0.0881
"LOC442245",1.132,3.85,0.000726,0.0887
"FCRL2",-1.046,8.076,0.000739,0.0892
"KRTAP4-1",0.651,14.324,0.000747,0.0892
"FAM57B",0.432,5.334,0.000757,0.0892
"TNFRSF17",-1.192,9.039,0.000758,0.0892
"SGCE",-1.232,5.794,0.00076,0.0892
"LOC390282",-0.235,13.037,0.000762,0.0892
"ENAH",-1.154,3.748,0.000775,0.0893
"ACAD8",-0.32,8.362,0.000775,0.0893
"PAK4",0.461,6.833,0.000782,0.0893
"LOC339344",0.773,15.353,0.000788,0.0893
"KIAA0746",-0.43,11.793,0.000796,0.0893
"P2RY10",-0.483,7.435,0.000797,0.0893
"MOBKL3",-0.244,10.48,8e-04,0.0893
"HPRT1",-0.285,10.813,0.000809,0.0893
"C18orf23",0.515,16.68,0.000817,0.0893
"XRCC3",0.377,5.605,0.00082,0.0893
"C9orf41",-0.694,6.686,0.000827,0.0893
"ZNF579",0.402,16.575,0.000842,0.0893
"LOC401717",-0.42,13.502,0.000843,0.0893
"SOX1",0.797,14.513,0.000848,0.0893
"LOC732215",-1.198,5.787,0.000862,0.0893
"LOC25845",-0.353,9.262,0.000864,0.0893
"RPL9",-0.205,17.355,0.000867,0.0893
"BCAM",0.293,18.264,0.000875,0.0893
"SFRS14",0.24,9.909,0.000875,0.0893
"TLK2",0.307,8.963,0.000879,0.0893
"HSPB9",0.821,9.265,0.00088,0.0893
"TSPAN10",0.64,15.379,0.000884,0.0893
"CACNA1I",0.43,16.491,0.000886,0.0893
"KIAA2022",-1.111,4.075,0.000889,0.0893
"PHOX2A",0.405,16.506,0.000897,0.0896
"RASGRP3",-0.662,6.766,0.000907,0.0897
"IGK@",-1.072,12.373,0.000915,0.0897
"SCYL1",0.198,14.077,0.000923,0.0897
"TRPM6",-1.565,3.82,0.000928,0.0897
"LOC391132",-0.258,11.827,0.000939,0.0897
"SLC35F2",-0.369,8.05,0.00095,0.0897
"NEIL1",0.575,10.677,0.000951,0.0897
"DKFZP564O0823",-0.891,6.415,0.00096,0.0897
"HNRNPA1L2",-0.25,15.755,0.000964,0.0897
"MBTPS1",-0.215,11.288,0.000973,0.0897
"SERPINF2",0.777,4.009,0.00098,0.0897
"HES7",0.269,17.29,0.00098,0.0897
"LOC100131699",0.437,7.238,0.000981,0.0897
"ARHGAP1",0.221,14.323,0.000982,0.0897
"KLF16",0.528,16.121,0.000988,0.0897
"AGAP3",0.822,15.226,0.000993,0.0897
"TNXB",1.012,13.468,0.000997,0.0897
"PKN2",0.317,18.034,0.000999,0.0897
"HBQ1",-1.265,9.324,0.001,0.0897
"SKP1",-0.215,14.406,0.00101,0.0897
"IRX3",1.067,12.497,0.00102,0.0897
"ZNF385A",0.327,11.879,0.00102,0.0897
"RWDD3",-0.419,10.324,0.00102,0.0897
"KLK3",0.719,16.16,0.00103,0.0897
"LRRC23",-0.517,7.794,0.00103,0.0897
"ZFPM1",0.375,15.064,0.00104,0.0897
"DUX3",-0.898,3.532,0.00104,0.0897
"CAMLG",-0.224,12.441,0.00106,0.0898
"LOC401397",-0.283,10.918,0.00106,0.0898
"PEG10",-0.797,3.438,0.00106,0.0898
"RYR1",-0.607,6.753,0.00106,0.0898
"SSR3",-0.365,9.846,0.00107,0.0903
"GOLGA9P",0.582,9.03,0.00111,0.0925
"PL-5283",-0.608,7.721,0.00111,0.0927
"LOC390183",-0.552,12.853,0.00112,0.0927
"RPL37A",-0.238,17.237,0.00113,0.0927
"TMEM158",0.339,16.143,0.00113,0.0927
"CIT",-0.391,6.826,0.00114,0.0932
"SHOX2",0.513,4.259,0.00116,0.0934
"MLL3",0.284,17.34,0.00117,0.0934
"BARD1",0.305,8.892,0.00117,0.0934
"ATP6V0E2",-0.44,8.205,0.00117,0.0934
"GPR153",0.411,16.76,0.00118,0.0934
"IGKV1-5",-1.09,9.345,0.00118,0.0934
"CDKN1B",-0.368,11.46,0.00118,0.0934
"LASS6",0.325,11.334,0.00119,0.0934
"C4orf15",-0.391,9.267,0.0012,0.0942
"FLJ22184",0.45,16.49,0.00123,0.0962
"SERTAD1",0.281,12.406,0.00124,0.0963
"CADM3",0.982,9.017,0.00126,0.0968
"DKFZP434A062",0.655,4.39,0.00127,0.0968
