"Gene","logFC","AveExpr","P.Value","adj.P.Val"
"LOC90586",1.356,3.242,5.73e-07,0.00973
"C11orf86",1.183,3.335,2.37e-06,0.0202
"SLC35F2",-0.682,8.05,9.34e-06,0.0525
"FAM46C",-1.863,8.317,1.24e-05,0.0525
"VPS37C",0.607,11.103,1.57e-05,0.0535
"ADH1A",2.345,3.663,4.01e-05,0.114
"CPSF1",-0.745,10.713,5.02e-05,0.122
"GIT2",0.49,12.233,8.15e-05,0.173
"FAM131A",0.47,11.252,0.000103,0.183
"MICAL3",-0.777,8.365,0.000116,0.183
"SAP18",-0.372,14.105,0.00015,0.183
"PAPPA",0.904,3.38,0.00015,0.183
"DOK3",0.544,12.918,0.00016,0.183
"FEZ2",0.946,11.664,0.000164,0.183
"RBM38",-0.594,11.677,0.000166,0.183
"ZFYVE26",0.597,11.425,0.000191,0.183
"SHOX2",0.756,4.259,0.00026,0.183
"LASS6",0.479,11.334,0.000268,0.183
"E2F6",0.541,9.523,0.000272,0.183
"GJC2",0.385,7.002,0.000298,0.183
"ZNF562",0.51,9.553,0.000317,0.183
"SPATA5L1",0.52,10.169,0.000336,0.183
"STK35",-0.887,6.612,0.000341,0.183
"IK",-0.25,13.507,0.000341,0.183
"CHCHD4",0.483,10.321,0.000348,0.183
"ZNF746",0.381,12.239,0.00035,0.183
"BCKDHB",-0.672,8.875,0.000352,0.183
"TMEM150",0.253,11.209,0.000354,0.183
"CRLS1",0.343,12.012,0.000368,0.183
"LY6G6C",1.132,4.85,0.000388,0.183
"CRYBG3",0.507,9.175,0.000397,0.183
"UCKL1",-0.431,9.323,0.000397,0.183
"SETD7",0.721,7.359,4e-04,0.183
"LOC100130433",1.485,4.287,0.000414,0.183
"P2RY10",-0.654,7.435,0.000448,0.183
"AKAP8L",-0.418,12.138,0.000466,0.183
"CRK",0.513,8.386,0.000469,0.183
"C11orf80",-1.181,4.38,0.000474,0.183
"AQP7",1.116,3.639,0.000491,0.183
"EIF5A",-0.691,10.164,0.000537,0.183
"ZNF828",0.599,7.656,0.000547,0.183
